Year,State,Index,M,L,U,Tag,N,Error,Std
2018,West_Bengal,PrDetPub,0.8594075567718086,0.857295117384416,0.8615199961592012,All,104145,0.001077113231775188,112.17595752322696
2019,West_Bengal,PrDetPub,0.7697437380272527,0.7672588282068891,0.7722196118119059,All,110668,0.0012655163968822631,140.0521686101663
2020,West_Bengal,PrDetPub,0.8996789019706605,0.897588616760058,0.901769187181263,All,79415,0.0010660771536962189,84.66251716078521
2021,West_Bengal,PrDetPub,0.7664305369832131,0.7636677091736934,0.7691823134814946,All,90487,0.0014065375672270561,127.27336484567464
2019,West_Bengal,PrevUt,0.001220256119904094,7.800650054171181e-4,0.0016901408450704226,All,23075,2.2982089167315588e-4,5.303117075358072
2019,West_Bengal,PrevAsym,9.151920899280706e-4,5.633802816901409e-4,0.001343445287107259,All,23075,1.9906112383755764e-4,4.593335432551642
2019,West_Bengal,PrevSym,1.74322302843442e-4,4.333694474539545e-5,3.466955579631636e-4,All,23075,8.690960287358056e-5,2.0054390863078715
2019,West_Bengal,PrevExCS,1.307417271325815e-4,0,3.0335861321776817e-4,All,23075,7.526756425556112e-5,1.7367990451970727
2019,West_Bengal,PrAsym,0.75,0.5862068965517241,0.896551724137931,All,29,0.08040844011283461,2.331844763272204
2019,West_Bengal,PrSym,0.14285714285714285,0.034482758620689655,0.27586206896551724,All,29,0.06497983230676314,1.8844151368961313
2019,West_Bengal,PrExCS,0.10714285714285714,0,0.2413793103448276,All,29,0.05743460008059615,1.6656034023372883
2019,West_Bengal,TBLikeUt,0.03471358331852378,0.03198862626621646,0.037497778567620405,All,16881,0.0014088953494785696,23.783562394547733
2019,West_Bengal,PrCSIPub,0.6324324324324324,0.6262188515709642,0.6386565547128927,All,23075,0.003173984517586335,73.23969274330467
2019,West_Bengal,PrTxiPub,0.75,0,1,All,2,0.30618621784789724,0.6123724356957945
2018,West_Bengal,TxI,0.9699339686937868,0.968805514898942,0.9710512496787818,Pub,89503,5.708083810118203e-4,51.08906252570095
2018,West_Bengal,TxI,0.6323589673541866,0.6245731457451168,0.6401447889632564,Pri,14642,0.003984681634867209,58.343708497725665
2019,West_Bengal,TxI,1.0729579977930646,NA,NA,Pub,85186,NA,NA
2019,West_Bengal,TxI,0.6054862255709913,0.5994819872851425,0.6114904638568401,Pri,25482,0.003061726997694803,78.01892735525897
2020,West_Bengal,TxI,0.9612585376777516,0.9598309259881312,0.9626721531743366,Pub,71448,7.219598924980921e-4,51.58259039920369
2020,West_Bengal,TxI,0.9358604242500314,0.930463160537216,0.9411321702020836,Pri,7967,0.002744866165941826,21.86834874405853
2021,West_Bengal,TxI,0,0,0,Pub,69352,0,0
2021,West_Bengal,TxI,0,0,0,Pri,21135,0,0
2018,West_Bengal,TxSucc,0.8330934543799436,0.8305224440589979,0.8356521632161001,Pub,81291,0.0013078631775039773,106.31750556247582
2018,West_Bengal,TxSucc,0.4573323626951387,0.44851573242740433,0.4661489929628731,Pri,12363,0.004480443387169374,55.391721595574964
2018,West_Bengal,TxDie,0.04626588429223407,0.044826610571896026,0.04771745949736133,Pub,81291,7.36754605981289e-4,59.891518674824965
2018,West_Bengal,TxDie,0.009382835881258595,0.007684219040685917,0.01108145272183127,Pri,12363,8.670777653564884e-4,10.719682413102266
2019,West_Bengal,TxSucc,0.863702974377762,0.8614246788633709,0.8659698211709752,Pub,87346,0.001160924258286472,101.4020902642902
2019,West_Bengal,TxSucc,0.6663257105282385,0.6584350113246146,0.6742164097318624,Pri,13687,0.004030422030934821,55.1643863374049
2019,West_Bengal,TxDie,0.04949282165182149,0.048061731504590935,0.05093536052022989,Pub,87346,7.338837931500531e-4,64.10181379648454
2019,West_Bengal,TxDie,0.01811938335646964,0.015927522466574123,0.020384306276028347,Pri,13687,0.0011401104241686162,15.60469137559585
2020,West_Bengal,TxSucc,0.8342890158287184,0.8318798238346488,0.836687306501548,Pub,91732,0.0012276469240160538,112.61450763384065
2020,West_Bengal,TxSucc,0.7048613182224873,0.6979421413659409,0.7117804950790337,Pri,16765,0.003522598343995421,59.05636123708324
2020,West_Bengal,TxDie,0.05185758513931889,0.05042951205686129,0.05329655954301661,Pub,91732,7.321203874108674e-4,67.15886737797369
2020,West_Bengal,TxDie,0.0393677303906949,0.03644497464956755,0.04235013420817179,Pri,16765,0.0015019206749900106,25.179700116207528
2021,West_Bengal,TxSucc,0.8436410773440876,0.8409333141293389,0.8463344375630131,Pub,69430,0.0013783725348778485,95.70040509656903
2021,West_Bengal,TxSucc,0.8190630048465266,0.8106126506772711,0.8273890891015285,Pri,8047,0.004291462691970339,34.533400282285314
2021,West_Bengal,TxDie,0.05637332565173556,0.054659369148782944,0.058101685150511305,Pub,69430,8.753129421799886e-4,60.77297757555661
2021,West_Bengal,TxDie,0.05045358518702622,0.04573132844538337,0.05530011184292283,Pri,8047,0.0024399847648888073,19.63455740306023
2019,West_Bengal,DrugTime,5.05e-4,3.916666666666667e-4,6.983333333333334e-4,All,98960000,7.823129251700681e-5,7741.768707482994
